"Name","Ticker","Return Date 
(Daily)","Total Ret 
YTD 
(Daily) 
USD","Total Ret 
1 Day 
(Daily) 
USD","Total Ret 
1 Wk 
(Daily) 
USD","Total Ret 
1 Mo 
(Daily) 
USD","Total Ret 
2 Mo 
(Daily) 
USD","Total Ret 
3 Mo 
(Daily) 
USD","Total Ret 
6 Mo 
(Daily) 
USD","Total Ret 
1 Yr 
(Daily) 
USD","Total Ret 
Annlzd 2 Yr 
(Daily) 
USD","Total Ret 
Annlzd 3 Yr 
(Daily) 
USD","Total Ret 
Annlzd 5 Yr 
(Daily) 
USD","Total Ret 
Annlzd 10 Yr 
(Daily) 
USD","% Rank Ind YTD (Daily)","% Rank Ind 1 Mo (Daily)","% Rank Ind 3 Mo (Daily)","% Rank Ind 1 Yr (Daily)","% Rank Ind Ann 3 Yr (Daily)","% Rank Ind Ann 5 Yr (Daily)","% Rank Ind Ann 10 Yr (Daily)","Return Date 
(Mo-End)","Total Ret 
YTD 
(Mo-End) 
USD","Total Ret 
1 Mo 
(Mo-End) 
USD","Total Ret 
2 Mo 
(Mo-End) 
USD","Total Ret 
3 Mo 
(Mo-End) 
USD","Total Ret 
1 Yr 
(Mo-End) 
USD","Total Ret 
Annlzd 2 Yr 
(Mo-End) 
USD","Total Ret 
Annlzd 3 Yr 
(Mo-End) 
USD","Total Ret 
Annlzd 5 Yr 
(Mo-End) 
USD","Total Ret 
Annlzd 10 Yr 
(Mo-End) 
USD","Total Ret 
Annlzd 15 Yr 
(Mo-End) 
USD","Total Ret 
Annlzd 20 Yr 
(Mo-End) 
USD","Return Date 
(Qtr-End)","Total Ret 
1 Mo 
(Qtr-End) 
USD","Total Ret 
2 Mo 
(Qtr-End) 
USD","Total Ret 
3 Mo 
(Qtr-End) 
USD","Total Ret 
6 Mo 
(Qtr-End) 
USD","Total Ret 
YTD 
(Qtr-End) 
USD","Total Ret 
1 Yr 
(Qtr-End) 
USD","Total Ret 
Annlzd 2 Yr 
(Qtr-End) 
USD","Total Ret 
Annlzd 3 Yr 
(Qtr-End) 
USD","Total Ret 
Annlzd 5 Yr 
(Qtr-End) 
USD","Total Ret 
Annlzd 10 Yr 
(Qtr-End) 
USD"
"Broadridge Financial Solutions Inc","BR","2022-07-05","-19.36","-0.18","3.54","0.34","2.60","-7.97","-16.92","-9.55","8.52","4.96","15.67","22.48","52.00","20.00","35.00","46.00","51.00","27.00","17.00","2022-06-30","-21.33","-2.07","-0.65","-8.04","-10.17","8.08","5.42","15.15","22.22","15.24","","2022-06-30","-2.07","-0.65","-8.04","-21.33","-21.33","-10.17","8.08","5.42","15.15","22.22"
"Brown & Brown Inc","BRO","2022-07-05","-14.48","0.96","3.79","1.97","1.77","-17.08","-10.89","12.35","21.86","20.62","23.34","16.32","65.00","22.00","77.00","34.00","31.00","26.00","45.00","2022-06-30","-16.70","-1.73","-5.71","-19.13","10.54","20.42","21.06","22.76","16.19","11.21","10.90","2022-06-30","-1.73","-5.71","-19.13","-16.70","-16.70","10.54","20.42","21.06","22.76","16.19"
"Brown-Forman Corp Registered Shs -B- Non Vtg","BF.B","2022-07-05","-2.31","-1.08","-0.51","7.28","8.89","4.93","-0.94","-2.55","6.63","8.96","14.60","12.22","32.00","12.00","24.00","43.00","33.00","16.00","24.00","2022-06-30","-3.19","6.40","4.31","4.97","-4.05","6.80","9.77","14.22","11.92","11.66","12.87","2022-06-30","6.40","4.31","4.97","-3.19","-3.19","-4.05","6.80","9.77","14.22","11.92"
"C.H. Robinson Worldwide Inc","CHRW","2022-07-05","-6.57","-2.55","-1.59","-7.92","-5.98","-1.48","-8.30","8.36","14.42","7.57","9.75","6.67","37.00","50.00","34.00","24.00","51.00","31.00","56.00","2022-06-30","-4.79","-6.07","-3.98","-5.38","10.53","15.56","8.45","10.15","7.36","5.91","10.61","2022-06-30","-6.07","-3.98","-5.38","-4.79","-4.79","10.53","15.56","8.45","10.15","7.36"
"Cadence Design Systems Inc","CDNS","2022-07-05","-18.63","1.34","1.01","-4.36","1.50","-7.23","-12.15","9.93","24.51","26.78","35.44","29.19","30.00","33.00","30.00","13.00","16.00","9.00","7.00","2022-06-30","-19.49","-2.41","-0.54","-8.77","9.66","25.04","28.44","34.97","29.87","13.67","11.80","2022-06-30","-2.41","-0.54","-8.77","-19.49","-19.49","9.66","25.04","28.44","34.97","29.87"
"Caesars Entertainment Inc","CZR","2022-07-05","-54.82","9.68","-1.65","-16.48","-32.87","-45.23","-49.78","-58.73","1.28","-5.18","16.91","","97.00","95.00","98.00","92.00","52.00","16.00","","2022-06-30","-59.05","-23.66","-42.21","-50.49","-63.08","-2.22","-5.97","13.88","","","","2022-06-30","-23.66","-42.21","-50.49","-59.05","-59.05","-63.08","-2.22","-5.97","13.88",""
"Camden Property Trust","CPT","2022-07-05","-24.00","-1.58","0.05","-6.07","-10.43","-20.63","-21.45","2.40","22.66","10.27","11.47","9.36","86.00","65.00","84.00","40.00","29.00","27.00","42.00","2022-06-30","-23.68","-5.62","-13.68","-18.52","4.03","24.48","11.47","12.01","9.56","6.64","8.59","2022-06-30","-5.62","-13.68","-18.52","-23.68","-23.68","4.03","24.48","11.47","12.01","9.56"
"Campbell Soup Co","CPB","2022-07-05","12.72","-0.49","0.75","5.51","-0.76","8.33","9.80","8.91","1.86","8.14","1.26","6.33","15.00","28.00","20.00","23.00","32.00","48.00","51.00","2022-06-30","12.26","0.29","1.76","8.64","8.64","1.34","9.33","1.13","6.29","3.66","4.75","2022-06-30","0.29","1.76","8.64","12.26","12.26","8.64","1.34","9.33","1.13","6.29"
"Capital One Financial Corp","COF","2022-07-05","-25.66","-0.15","-1.71","-14.02","-17.70","-17.76","-27.25","-30.33","34.52","6.65","6.90","8.35","68.00","74.00","66.00","69.00","40.00","36.00","42.00","2022-06-30","-27.36","-18.51","-15.91","-20.18","-30.71","31.47","6.56","6.46","8.10","2.97","3.53","2022-06-30","-18.51","-15.91","-20.18","-27.36","-27.36","-30.71","31.47","6.56","6.46","8.10"
"Cardinal Health Inc","CAH","2022-07-05","3.39","-1.60","-2.00","-2.00","-8.85","-7.19","-0.16","-6.33","4.13","6.40","-4.70","4.95","37.00","55.00","53.00","53.00","43.00","65.00","57.00","2022-06-30","3.43","-6.31","-9.10","-6.94","-5.00","3.76","7.26","-4.50","5.10","0.97","1.52","2022-06-30","-6.31","-9.10","-6.94","3.43","3.43","-5.00","3.76","7.26","-4.50","5.10"
"CarMax Inc","KMX","2022-07-05","-26.42","3.40","1.50","-0.55","3.72","-4.01","-19.72","-28.40","3.63","2.69","8.62","13.59","75.00","60.00","54.00","69.00","68.00","36.00","35.00","2022-06-30","-30.52","-8.85","5.48","-6.22","-29.94","0.52","1.38","7.49","13.31","8.81","11.20","2022-06-30","-8.85","5.48","-6.22","-30.52","-30.52","-29.94","0.52","1.38","7.49","13.31"
"Carnival Corp Shs Paired with 1 sh of beneficial interest from P&O Princess","CCL","2022-07-05","-53.38","6.35","-9.20","-30.57","-43.29","-53.61","-55.69","-64.01","-23.14","-38.56","-26.09","-4.76","96.00","92.00","97.00","97.00","94.00","95.00","85.00","2022-06-30","-57.01","-37.68","-50.00","-57.22","-67.19","-27.42","-39.81","-26.62","-5.17","-4.51","0.06","2022-06-30","-37.68","-50.00","-57.22","-57.01","-57.01","-67.19","-27.42","-39.81","-26.62","-5.17"
"Carrier Global Corp Ordinary Shares","CARR","2022-07-05","-32.95","0.19","0.22","-8.51","-4.58","-18.34","-30.55","-24.48","27.22","","","","72.00","50.00","72.00","66.00","","","","2022-06-30","-33.70","-8.90","-6.43","-21.60","-25.45","28.46","","","","","","2022-06-30","-8.90","-6.43","-21.60","-33.70","-33.70","-25.45","28.46","","",""
"Catalent Inc","CTLT","2022-07-05","-17.21","-0.96","-1.07","-4.36","5.31","-5.76","-8.68","-4.62","20.71","24.10","24.61","","38.00","27.00","30.00","23.00","13.00","10.00","","2022-06-30","-16.20","4.10","18.47","-3.26","-0.77","20.98","25.55","25.04","","","","2022-06-30","4.10","18.47","-3.26","-16.20","-16.20","-0.77","20.98","25.55","25.04",""
"Caterpillar Inc","CAT","2022-07-05","-14.88","-2.54","-7.30","-22.05","-19.53","-19.05","-19.92","-18.17","19.48","11.23","12.42","9.05","43.00","79.00","66.00","47.00","32.00","17.00","34.00","2022-06-30","-12.46","-17.18","-15.09","-19.28","-15.82","21.69","11.99","13.00","9.55","7.12","11.71","2022-06-30","-17.18","-15.09","-19.28","-12.46","-12.46","-15.82","21.69","11.99","13.00","9.55"
"Cboe Global Markets Inc","CBOE","2022-07-05","-9.57","2.41","2.95","3.02","5.96","4.19","-5.28","0.75","12.60","3.39","5.97","16.57","55.00","28.00","27.00","40.00","74.00","70.00","37.00","2022-06-30","-12.83","0.78","0.61","-0.66","-3.71","11.66","4.35","5.61","16.31","","","2022-06-30","0.78","0.61","-0.66","-12.83","-12.83","-3.71","11.66","4.35","5.61","16.31"
"CBRE Group Inc Class A","CBRE","2022-07-05","-29.53","1.03","4.10","-4.29","-6.48","-15.89","-28.35","-11.00","29.63","13.16","15.77","16.87","74.00","50.00","68.00","54.00","24.00","14.00","15.00","2022-06-30","-32.16","-11.14","-11.36","-19.57","-14.14","27.59","12.79","15.12","16.23","4.79","","2022-06-30","-11.14","-11.36","-19.57","-32.16","-32.16","-14.14","27.59","12.79","15.12","16.23"
"CDW Corp","CDW","2022-07-05","-22.48","0.48","-1.02","-10.16","-7.57","-10.50","-22.00","-9.75","17.33","12.65","21.17","","58.00","57.00","46.00","48.00","38.00","19.00","","2022-06-30","-22.57","-7.24","-3.14","-11.64","-8.70","17.73","13.54","21.32","","","","2022-06-30","-7.24","-3.14","-11.64","-22.57","-22.57","-8.70","17.73","13.54","21.32",""
"Celanese Corp Class A","CE","2022-07-05","-31.93","-2.32","-8.11","-27.92","-25.41","-20.21","-34.18","-25.19","15.67","4.59","5.66","14.25","83.00","93.00","76.00","73.00","55.00","40.00","29.00","2022-06-30","-29.21","-24.86","-19.96","-17.20","-20.63","19.32","5.17","6.42","14.54","8.70","","2022-06-30","-24.86","-19.96","-17.20","-29.21","-29.21","-20.63","19.32","5.17","6.42","14.54"
"Centene Corp","CNC","2022-07-05","2.85","-1.69","0.50","3.39","-0.08","-0.09","6.22","14.71","12.87","18.08","15.75","27.55","44.00","21.00","51.00","63.00","77.00","52.00","9.00","2022-06-30","2.68","3.89","5.04","0.50","16.02","15.39","17.29","16.20","27.35","20.20","19.06","2022-06-30","3.89","5.04","0.50","2.68","2.68","16.02","15.39","17.29","16.20","27.35"
"CenterPoint Energy Inc","CNP","2022-07-05","5.45","-4.62","0.00","-8.15","-5.43","-5.70","7.45","19.47","24.95","2.17","4.14","6.49","26.00","65.00","55.00","23.00","53.00","52.00","52.00","2022-06-30","7.20","-7.71","-2.81","-2.90","23.37","28.59","3.65","4.49","6.51","6.16","5.21","2022-06-30","-7.71","-2.81","-2.90","7.20","7.20","23.37","28.59","3.65","4.49","6.51"
"Ceridian HCM Holding Inc","CDAY","2022-07-05","-51.31","6.85","4.46","-7.83","-9.93","-22.54","-45.28","-48.04","-22.50","-0.65","","","75.00","61.00","64.00","64.00","56.00","","","2022-06-30","-54.93","-16.38","-16.12","-31.13","-50.92","-22.93","-2.12","","","","","2022-06-30","-16.38","-16.12","-31.13","-54.93","-54.93","-50.92","-22.93","-2.12","",""
"CF Industries Holdings Inc","CF","2022-07-05","19.03","-2.03","-4.86","-12.84","-16.29","-18.31","22.15","64.47","71.14","23.52","25.57","8.96","25.00","56.00","58.00","19.00","28.00","12.00","31.00","2022-06-30","22.11","-13.20","-11.05","-16.43","69.15","77.07","24.17","26.85","9.55","14.97","","2022-06-30","-13.20","-11.05","-16.43","22.11","22.11","69.15","77.07","24.17","26.85","9.55"
"Charles River Laboratories International Inc","CRL","2022-07-05","-40.89","1.78","2.40","-8.34","-10.26","-22.84","-33.58","-40.48","12.20","16.07","17.08","20.58","66.00","51.00","67.00","58.00","33.00","27.00","20.00","2022-06-30","-43.21","-8.59","-11.40","-24.65","-42.16","10.78","14.67","16.17","20.64","9.94","9.47","2022-06-30","-8.59","-11.40","-24.65","-43.21","-43.21","-42.16","10.78","14.67","16.17","20.64"
"Charles Schwab Corp","SCHW","2022-07-05","-24.15","-0.83","-1.22","-9.53","-8.96","-22.32","-28.57","-11.88","39.38","17.08","8.78","18.12","62.00","56.00","72.00","50.00","38.00","37.00","19.00","2022-06-30","-24.40","-9.87","-4.45","-24.83","-12.18","38.43","17.60","9.07","17.99","8.50","9.61","2022-06-30","-9.87","-4.45","-24.83","-24.40","-24.40","-12.18","38.43","17.60","9.07","17.99"
"Charter Communications Inc Class A","CHTR","2022-07-05","-26.19","0.06","5.29","-2.01","5.48","-13.57","-22.99","-34.25","-3.59","6.21","7.51","19.67","78.00","42.00","71.00","79.00","37.00","26.00","6.00","2022-06-30","-28.14","-7.58","9.34","-14.11","-35.06","-4.16","5.84","6.82","19.58","","","2022-06-30","-7.58","9.34","-14.11","-28.14","-28.14","-35.06","-4.16","5.84","6.82","19.58"
"Chevron Corp","CVX","2022-07-05","23.99","-2.63","-4.86","-19.67","-13.34","-11.80","19.05","39.70","31.79","8.63","9.85","5.89","30.00","83.00","79.00","25.00","20.00","24.00","27.00","2022-06-30","25.79","-17.11","-6.68","-10.21","43.50","32.02","8.85","10.19","6.07","6.08","8.16","2022-06-30","-17.11","-6.68","-10.21","25.79","25.79","43.50","32.02","8.85","10.19","6.07"
"Chipotle Mexican Grill Inc","CMG","2022-07-05","-22.05","4.28","5.73","-0.90","-0.52","-15.08","-14.54","-13.00","13.57","22.60","26.95","13.54","66.00","57.00","68.00","51.00","10.00","6.00","23.00","2022-06-30","-25.22","-6.79","-10.19","-17.37","-15.68","11.45","21.28","25.73","13.15","19.96","","2022-06-30","-6.79","-10.19","-17.37","-25.22","-25.22","-15.68","11.45","21.28","25.73","13.15"
"Chubb Ltd","CB","2022-07-05","0.76","-2.42","-0.65","-6.98","-6.75","-8.67","0.39","21.69","26.05","10.62","7.37","11.65","47.00","71.00","68.00","21.00","28.00","36.00","32.00","2022-06-30","2.53","-6.57","-4.38","-7.71","25.71","26.60","11.83","7.81","11.73","9.10","10.56","2022-06-30","-6.57","-4.38","-7.71","2.53","2.53","25.71","26.60","11.83","7.81","11.73"
"Church & Dwight Co Inc","CHD","2022-07-05","-6.83","0.76","4.21","7.02","0.48","-5.62","-6.87","12.58","11.30","9.62","13.98","13.74","41.00","11.00","60.00","13.00","26.00","15.00","21.00","2022-06-30","-9.09","2.89","-4.75","-6.50","9.94","10.67","9.38","13.41","13.74","15.22","16.01","2022-06-30","2.89","-4.75","-6.50","-9.09","-9.09","9.94","10.67","9.38","13.41","13.74"
"Cigna Corp","CI","2022-07-05","16.31","-1.19","-0.51","4.72","5.51","8.52","12.92","13.04","19.29","18.38","9.90","20.31","11.00","47.00","20.00","67.00","73.00","69.00","63.00","2022-06-30","15.73","-1.36","7.24","10.45","12.95","19.90","19.64","10.02","19.90","11.58","11.20","2022-06-30","-1.36","7.24","10.45","15.73","15.73","12.95","19.90","19.64","10.02","19.90"
"Cincinnati Financial Corp","CINF","2022-07-05","5.71","-1.08","1.21","-5.22","-4.85","-11.48","5.55","3.28","38.35","5.46","12.58","13.96","40.00","66.00","77.00","50.00","52.00","21.00","21.00","2022-06-30","5.64","-6.41","-2.44","-11.98","4.29","39.21","6.83","12.60","13.96","8.45","6.69","2022-06-30","-6.41","-2.44","-11.98","5.64","5.64","4.29","39.21","6.83","12.60","13.96"
"Cintas Corp","CTAS","2022-07-05","-14.87","-0.36","1.04","-5.23","-2.70","-12.77","-7.07","-1.13","19.14","17.31","25.36","25.91","56.00","45.00","59.00","38.00","23.00","8.00","7.00","2022-06-30","-15.29","-6.23","-5.73","-11.97","-1.22","19.81","17.49","25.25","26.15","16.63","10.99","2022-06-30","-6.23","-5.73","-11.97","-15.29","-15.29","-1.22","19.81","17.49","25.25","26.15"
"Cisco Systems Inc","CSCO","2022-07-05","-32.00","-0.61","-1.67","-6.43","-14.65","-22.91","-29.13","-18.83","-0.78","-6.45","9.34","12.04","74.00","53.00","78.00","55.00","62.00","25.00","27.00","2022-06-30","-31.53","-5.35","-12.94","-22.85","-16.74","-1.14","-4.96","9.47","11.97","4.45","6.95","2022-06-30","-5.35","-12.94","-22.85","-31.53","-31.53","-16.74","-1.14","-4.96","9.47","11.97"
"Citigroup Inc","C","2022-07-05","-21.13","-0.55","-1.27","-9.20","-9.16","-8.65","-24.22","-30.90","0.14","-9.61","-4.00","7.79","86.00","67.00","62.00","97.00","90.00","82.00","30.00","2022-06-30","-22.16","-13.89","-4.60","-12.92","-32.11","-1.01","-9.38","-3.77","7.44","-11.77","-4.00","2022-06-30","-13.89","-4.60","-12.92","-22.16","-22.16","-32.11","-1.01","-9.38","-3.77","7.44"
"Citizens Financial Group Inc","CFG","2022-07-05","-22.41","-0.66","-2.34","-11.34","-11.60","-15.73","-28.09","-18.70","28.12","4.11","2.87","","83.00","70.00","81.00","83.00","43.00","39.00","","2022-06-30","-22.81","-13.75","-8.43","-20.41","-18.79","24.00","4.46","3.46","","","","2022-06-30","-13.75","-8.43","-20.41","-22.81","-22.81","-18.79","24.00","4.46","3.46",""
"Citrix Systems Inc","CTXS","2022-07-05","4.77","1.19","3.07","-2.28","-2.27","-2.27","1.93","-16.05","-17.85","0.94","5.49","3.97","10.00","35.00","20.00","31.00","50.00","44.00","57.00","2022-06-30","2.73","-3.50","-2.93","-3.70","-16.51","-18.04","0.88","5.05","3.79","8.95","16.20","2022-06-30","-3.50","-2.93","-3.70","2.73","2.73","-16.51","-18.04","0.88","5.05","3.79"
"Clorox Co","CLX","2022-07-05","-15.65","0.59","5.70","4.23","-2.37","1.19","-17.11","-16.68","-16.79","0.49","4.16","9.46","60.00","26.00","32.00","50.00","44.00","34.00","34.00","2022-06-30","-17.81","-3.01","-1.74","2.24","-19.06","-17.29","0.26","3.81","9.24","7.56","7.94","2022-06-30","-3.01","-1.74","2.24","-17.81","-17.81","-19.06","-17.29","0.26","3.81","9.24"
